synset	lucid_label	tfrecord_label	name
n03599486	294	613	jinrikisha
n03868242	295	691	oxcart
n02804414	296	432	bassinet
n03125729	297	517	cradle
n03131574	298	521	crib
n03388549	299	565	four-poster
n02870880	300	454	bookcase
n03018349	301	496	china_cabinet
n03742115	302	649	medicine_chest
n03016953	303	494	chiffonier
n04380533	304	847	table_lamp
n03337140	305	554	file
n03891251	306	704	park_bench
n02791124	307	424	barber_chair
n04429376	308	858	throne
n03376595	309	560	folding_chair
n04099969	310	766	rocking_chair
n04344873	311	832	studio_couch
n04447861	312	862	toilet_seat
n03179701	313	527	desk
n03982430	314	737	pool_table
n03201208	315	533	dining_table
n03290653	316	549	entertainment_center
n04550184	317	895	wardrobe
n07742313	318	949	Granny_Smith
n07747607	319	951	orange
n07749582	320	952	lemon
n07753113	321	953	fig
n07753275	322	954	pineapple
n07753592	323	955	banana
n07754684	324	956	jackfruit
n07760859	325	957	custard_apple
n07768694	326	958	pomegranate
n12267677	327	989	acorn
n12620546	328	990	hip
n13133613	329	999	ear
n11879895	330	985	rapeseed
n12144580	331	988	corn
n12768682	332	991	buckeye
n03854065	333	688	organ
n04515003	334	882	upright
n03017168	335	495	chime
n03249569	336	542	drum
n03447721	337	578	gong
n03720891	338	642	maraca
n03721384	339	643	marimba
n04311174	340	823	steel_drum
n02787622	341	421	banjo
n02992211	342	487	cello
n04536866	343	890	violin
n03495258	344	595	harp
n02676566	345	403	acoustic_guitar
n03272010	346	547	electric_guitar
n03110669	347	514	cornet
n03394916	348	567	French_horn
n04487394	349	876	trombone
n03494278	350	594	harmonica
n03840681	351	685	ocarina
n03884397	352	700	panpipe
n02804610	353	433	bassoon
n03838899	354	684	oboe
n04141076	355	777	sax
n03372029	356	559	flute
n11939491	357	986	daisy
n12057211	358	987	yellow_lady's_slipper
n09246464	359	973	cliff
n09468604	360	980	valley
n09193705	361	971	alp
n09472597	362	981	volcano
n09399592	363	977	promontory
n09421951	364	978	sandbar
n09256479	365	974	coral_reef
n09332890	366	976	lakeside
n09428293	367	979	seashore
n09288635	368	975	geyser
n03498962	369	597	hatchet
n03041632	370	500	cleaver
n03658185	371	624	letter_opener
n03954731	372	727	plane
n03995372	373	741	power_drill
n03649909	374	622	lawn_mower
n03481172	375	588	hammer
n03109150	376	513	corkscrew
n02951585	377	474	can_opener
n03970156	378	732	plunger
n04154565	379	785	screwdriver
n04208210	380	793	shovel
n03967562	381	731	plow
n03000684	382	492	chain_saw
n01514668	383	8	cock
n01514859	384	9	hen
n01518878	385	10	ostrich
n01530575	386	11	brambling
n01531178	387	12	goldfinch
n01532829	388	13	house_finch
n01534433	389	14	junco
n01537544	390	15	indigo_bunting
n01558993	391	16	robin
n01560419	392	17	bulbul
n01580077	393	18	jay
n01582220	394	19	magpie
n01592084	395	20	chickadee
n01601694	396	21	water_ouzel
n01608432	397	22	kite
n01614925	398	23	bald_eagle
n01616318	399	24	vulture
n01622779	400	25	great_grey_owl
n01795545	401	81	black_grouse
n01796340	402	82	ptarmigan
n01797886	403	83	ruffed_grouse
n01798484	404	84	prairie_chicken
n01806143	405	85	peacock
n01806567	406	86	quail
n01807496	407	87	partridge
n01817953	408	88	African_grey
n01818515	409	89	macaw
n01819313	410	90	sulphur-crested_cockatoo
n01820546	411	91	lorikeet
n01824575	412	92	coucal
n01828970	413	93	bee_eater
n01829413	414	94	hornbill
n01833805	415	95	hummingbird
n01843065	416	96	jacamar
n01843383	417	97	toucan
n01847000	418	98	drake
n01855032	419	99	red-breasted_merganser
n01855672	420	100	goose
n01860187	421	101	black_swan
n02002556	422	128	white_stork
n02002724	423	129	black_stork
n02006656	424	130	spoonbill
n02007558	425	131	flamingo
n02009912	426	133	American_egret
n02009229	427	132	little_blue_heron
n02011460	428	134	bittern
n02012849	429	135	crane
n02013706	430	136	limpkin
n02018207	431	138	American_coot
n02018795	432	139	bustard
n02025239	433	140	ruddy_turnstone
n02027492	434	141	red-backed_sandpiper
n02028035	435	142	redshank
n02033041	436	143	dowitcher
n02037110	437	144	oystercatcher
n02017213	438	137	European_gallinule
n02051845	439	145	pelican
n02056570	440	146	king_penguin
n02058221	441	147	albatross
n01484850	442	3	great_white_shark
n01491361	443	4	tiger_shark
n01494475	444	5	hammerhead
n01496331	445	6	electric_ray
n01498041	446	7	stingray
n02514041	447	390	barracouta
n02536864	448	392	coho
n01440764	449	1	tench
n01443537	450	2	goldfish
n02526121	451	391	eel
n02606052	452	393	rock_beauty
n02607072	453	394	anemone_fish
n02643566	454	397	lionfish
n02655020	455	398	puffer
n02640242	456	395	sturgeon
n02641379	457	396	gar
n01664065	458	34	loggerhead
n01665541	459	35	leatherback_turtle
n01667114	460	36	mud_turtle
n01667778	461	37	terrapin
n01669191	462	38	box_turtle
n01675722	463	39	banded_gecko
n01677366	464	40	common_iguana
n01682714	465	41	American_chameleon
n01685808	466	42	whiptail
n01687978	467	43	agama
n01688243	468	44	frilled_lizard
n01689811	469	45	alligator_lizard
n01692333	470	46	Gila_monster
n01693334	471	47	green_lizard
n01694178	472	48	African_chameleon
n01695060	473	49	Komodo_dragon
n01704323	474	52	triceratops
n01697457	475	50	African_crocodile
n01698640	476	51	American_alligator
n01728572	477	53	thunder_snake
n01728920	478	54	ringneck_snake
n01729322	479	55	hognose_snake
n01729977	480	56	green_snake
n01734418	481	57	king_snake
n01735189	482	58	garter_snake
n01737021	483	59	water_snake
n01739381	484	60	vine_snake
n01740131	485	61	night_snake
n01742172	486	62	boa_constrictor
n01744401	487	63	rock_python
n01748264	488	64	Indian_cobra
n01749939	489	65	green_mamba
n01751748	490	66	sea_snake
n01753488	491	67	horned_viper
n01755581	492	68	diamondback
n01756291	493	69	sidewinder
n01629819	494	26	European_fire_salamander
n01630670	495	27	common_newt
n01631663	496	28	eft
n01632458	497	29	spotted_salamander
n01632777	498	30	axolotl
n01641577	499	31	bullfrog
n01644373	500	32	tree_frog
n01644900	501	33	tailed_frog
n04579432	502	903	whistle
n04592741	503	909	wing
n03876231	504	697	paintbrush
n03483316	505	590	hand_blower
n03868863	506	692	oxygen_mask
n04251144	507	802	snorkel
n03691459	508	633	loudspeaker
n03759954	509	651	microphone
n04152593	510	783	screen
n03793489	511	674	mouse
n03271574	512	546	electric_fan
n03843555	513	687	oil_filter
n04332243	514	829	strainer
n04265275	515	812	space_heater
n04330267	516	828	stove
n03467068	517	584	guillotine
n02794156	518	427	barometer
n04118776	519	770	rule
n03841143	520	686	odometer
n04141975	521	779	scale
n02708093	522	410	analog_clock
n03196217	523	531	digital_clock
n04548280	524	893	wall_clock
n03544143	525	605	hourglass
n04355338	526	836	sundial
n03891332	527	705	parking_meter
n04328186	528	827	stopwatch
n03197337	529	532	digital_watch
n04317175	530	824	stethoscope
n04376876	531	846	syringe
n03706229	532	636	magnetic_compass
n02841315	533	448	binoculars
n04009552	534	746	projector
n04356056	535	838	sunglasses
n03692522	536	634	loupe
n04044716	537	756	radio_telescope
n02879718	538	457	bow
n02950826	539	472	cannon
n02749479	540	414	assault_rifle
n04090263	541	765	rifle
n04008634	542	745	projectile
n03085013	543	509	computer_keyboard
n04505470	544	879	typewriter_keyboard
n03126707	545	518	crane
n03666591	546	627	lighter
n02666196	547	399	abacus
n02977058	548	481	cash_machine
n04238763	549	799	slide_rule
n03180011	550	528	desktop_computer
n03485407	551	591	hand-held_computer
n03832673	552	682	notebook
n06359193	553	917	web_site
n03496892	554	596	harvester
n04428191	555	857	thresher
n04004767	556	743	printer
n04243546	557	801	slot
n04525305	558	887	vending_machine
n04179913	559	787	sewing_machine
n03602883	560	614	joystick
n04372370	561	845	switch
n03532672	562	601	hook
n02974003	563	480	car_wheel
n03874293	564	695	paddlewheel
n03944341	565	724	pinwheel
n03992509	566	740	potter's_wheel
n03425413	567	572	gas_pump
n02966193	568	477	carousel
n04371774	569	844	swing
n04067472	570	759	reel
n04040759	571	754	radiator
n04019541	572	747	puck
n03492542	573	593	hard_disc
n04355933	574	837	sunglass
n03929660	575	715	pick
n02965783	576	476	car_mirror
n04258138	577	808	solar_dish
n04074963	578	762	remote_control
n03208938	579	536	disk_brake
n02910353	580	465	buckle
n03476684	581	585	hair_slide
n03627232	582	617	knot
n03075370	583	508	combination_lock
n03874599	584	696	padlock
n03804744	585	678	nail
n04127249	586	773	safety_pin
n04153751	587	784	screw
n03803284	588	677	muzzle
n04162706	589	786	seat_belt
n04228054	590	796	ski
n02948072	591	471	candle
n03590841	592	608	jack-o'-lantern
n04286575	593	819	spotlight
n04456115	594	863	torch
n03814639	595	679	neck_brace
n03933933	596	719	pier
n04485082	597	873	tripod
n03733131	598	646	maypole
n03794056	599	675	mousetrap
n04275548	600	816	spider_web
n01768244	601	70	trilobite
n01770081	602	71	harvestman
n01770393	603	72	scorpion
n01773157	604	73	black_and_gold_garden_spider
n01773549	605	74	barn_spider
n01773797	606	75	garden_spider
n01774384	607	76	black_widow
n01774750	608	77	tarantula
n01775062	609	78	wolf_spider
n01776313	610	79	tick
n01784675	611	80	centipede
n01990800	612	127	isopod
n01978287	613	119	Dungeness_crab
n01978455	614	120	rock_crab
n01980166	615	121	fiddler_crab
n01981276	616	122	king_crab
n01983481	617	123	American_lobster
n01984695	618	124	spiny_lobster
n01985128	619	125	crayfish
n01986214	620	126	hermit_crab
n02165105	621	301	tiger_beetle
n02165456	622	302	ladybug
n02167151	623	303	ground_beetle
n02168699	624	304	long-horned_beetle
n02169497	625	305	leaf_beetle
n02172182	626	306	dung_beetle
n02174001	627	307	rhinoceros_beetle
n02177972	628	308	weevil
n02190166	629	309	fly
n02206856	630	310	bee
n02226429	631	312	grasshopper
n02229544	632	313	cricket
n02231487	633	314	walking_stick
n02233338	634	315	cockroach
n02236044	635	316	mantis
n02256656	636	317	cicada
n02259212	637	318	leafhopper
n02264363	638	319	lacewing
n02268443	639	320	dragonfly
n02268853	640	321	damselfly
n02276258	641	322	admiral
n02277742	642	323	ringlet
n02279972	643	324	monarch
n02280649	644	325	cabbage_butterfly
n02281406	645	326	sulphur_butterfly
n02281787	646	327	lycaenid
n01910747	647	108	jellyfish
n01914609	648	109	sea_anemone
n01917289	649	110	brain_coral
n01924916	650	111	flatworm
n01930112	651	112	nematode
n01943899	652	113	conch
n01944390	653	114	snail
n01945685	654	115	slug
n01950731	655	116	sea_slug
n01955084	656	117	chiton
n02319095	657	329	sea_urchin
n02321529	658	330	sea_cucumber
n03584829	659	607	iron
n03297495	660	551	espresso_maker
n03761084	661	652	microwave
n03259280	662	545	Dutch_oven
n04111531	663	767	rotisserie
n04442312	664	860	toaster
n04542943	665	892	waffle_iron
n04517823	666	883	vacuum
n03207941	667	535	dishwasher
n04070727	668	761	refrigerator
n04554684	669	898	washer
n03133878	670	522	Crock_Pot
n03400231	671	568	frying_pan
n04596742	672	910	wok
n02939185	673	470	caldron
n03063689	674	506	coffeepot
n04398044	675	850	teapot
n04270147	676	814	spatula
n02699494	677	407	altar
n04486054	678	874	triumphal_arch
n03899768	679	707	patio
n04311004	680	822	steel_arch_bridge
n04366367	681	840	suspension_bridge
n04532670	682	889	viaduct
n02793495	683	426	barn
n03457902	684	581	greenhouse
n03877845	685	699	palace
n03781244	686	664	monastery
n03661043	687	625	library
n02727426	688	411	apiary
n02859443	689	450	boathouse
n03028079	690	498	church
n03788195	691	669	mosque
n04346328	692	833	stupa
n03956157	693	728	planetarium
n04081281	694	763	restaurant
n03032252	695	499	cinema
n03529860	696	599	home_theater
n03697007	697	635	lumbermill
n03065424	698	507	coil
n03837869	699	683	obelisk
n04458633	700	864	totem_pole
n02980441	701	484	castle
n04005630	702	744	prison
n03461385	703	583	grocery_store
n02776631	704	416	bakery
n02791270	705	425	barbershop
n02871525	706	455	bookshop
n02927161	707	468	butcher_shop
n03089624	708	510	confectionery
n04200800	709	789	shoe_shop
n04443257	710	861	tobacco_shop
n04462240	711	866	toyshop
n03388043	712	563	fountain
n03042490	713	501	cliff_dwelling
n04613696	714	916	yurt
n03216828	715	537	dock
n02892201	716	459	brass
n03743016	717	650	megalith
n02788148	718	422	bannister
n02894605	719	461	breakwater
n03160309	720	526	dam
n03000134	721	490	chainlink_fence
n03930313	722	717	picket_fence
n04604644	723	913	worm_fence
n04326547	724	826	stone_wall
n03459775	725	582	grille
n04239074	726	800	sliding_door
n04501370	727	878	turnstile
n03792972	728	673	mountain_tent
n04149813	729	782	scoreboard
n03530642	730	600	honeycomb
n03961711	731	730	plate_rack
n03903868	732	709	pedestal
n02814860	733	438	beacon
n07711569	734	936	mashed_potato
n07720875	735	946	bell_pepper
n07714571	736	937	head_cabbage
n07714990	737	938	broccoli
n07715103	738	939	cauliflower
n07716358	739	940	zucchini
n07716906	740	941	spaghetti_squash
n07717410	741	942	acorn_squash
n07717556	742	943	butternut_squash
n07718472	743	944	cucumber
n07718747	744	945	artichoke
n07730033	745	947	cardoon
n07734744	746	948	mushroom
n04209239	747	795	shower_curtain
n03594734	748	609	jean
n02971356	749	479	carton
n03485794	750	592	handkerchief
n04133789	751	775	sandal
n02747177	752	413	ashcan
n04125021	753	772	safe
n07579787	754	924	plate
n03814906	755	680	necklace
n03134739	756	523	croquet_ball
n03404251	757	569	fur_coat
n04423845	758	856	thimble
n03877472	759	698	pajama
n04120489	760	771	running_shoe
n03062245	761	504	cocktail_shaker
n03014705	762	493	chest
n03717622	763	641	manhole_cover
n03777754	764	663	modem
n04493381	765	877	tub
n04476259	766	869	tray
n02777292	767	417	balance_beam
n07693725	768	932	bagel
n03998194	769	742	prayer_rug
n03617480	770	615	kimono
n07590611	771	927	hot_pot
n04579145	772	902	whiskey_jug
n03623198	773	616	knee_pad
n07248320	774	922	book_jacket
n04277352	775	817	spindle
n04229816	776	797	ski_mask
n02823428	777	441	beer_bottle
n03127747	778	519	crash_helmet
n02877765	779	456	bottlecap
n04435653	780	859	tile_roof
n03724870	781	644	mask
n03710637	782	639	maillot
n03920288	783	713	Petri_dish
n03379051	784	561	football_helmet
n02807133	785	434	bathing_cap
n04399382	786	851	teddy
n03527444	787	598	holster
n03983396	788	738	pop_bottle
n03924679	789	714	photocopier
n04532106	790	888	vestment
n06785654	791	919	crossword_puzzle
n03445777	792	575	golf_ball
n07613480	793	928	trifle
n04350905	794	835	suit
n04562935	795	901	water_tower
n03325584	796	553	feather_boa
n03045698	797	502	cloak
n07892512	798	967	red_wine
n03250847	799	543	drumstick
n04192698	800	788	shield
n03026506	801	497	Christmas_stocking
n03534580	802	602	hoopskirt
n07565083	803	923	menu
n04296562	804	820	stage
n02869837	805	453	bonnet
n07871810	806	963	meat_loaf
n02799071	807	430	baseball
n03314780	808	552	face_powder
n04141327	809	778	scabbard
n04357314	810	839	sunscreen
n02823750	811	442	beer_glass
n13052670	812	997	hen-of-the-woods
n07583066	813	925	guacamole
n03637318	814	620	lampshade
n04599235	815	912	wool
n07802026	816	959	hay
n02883205	817	458	bow_tie
n03709823	818	637	mailbag
n04560804	819	900	water_jug
n02909870	820	464	bucket
n03207743	821	534	dishrag
n04263257	822	810	soup_bowl
n07932039	823	970	eggnog
n03786901	824	667	mortar
n04479046	825	870	trench_coat
n03873416	826	694	paddle
n02999410	827	489	chain
n04367480	828	841	swab
n03775546	829	660	mixing_bowl
n07875152	830	965	potpie
n04591713	831	908	wine_bottle
n04201297	832	790	shoji
n02916936	833	466	bulletproof_vest
n03240683	834	541	drilling_platform
n02840245	835	447	binder
n02963159	836	475	cardigan
n04370456	837	842	sweatshirt
n03991062	838	739	pot
n02843684	839	449	birdhouse
n03482405	840	589	hamper
n03942813	841	723	ping-pong_ball
n03908618	842	710	pencil_box
n03902125	843	708	pay-phone
n07584110	844	926	consomme
n02730930	845	412	apron
n04023962	846	748	punching_bag
n02769748	847	415	backpack
n10148035	848	983	groom
n02817516	849	440	bearskin
n03908714	850	711	pencil_sharpener
n02906734	851	463	broom
n03788365	852	670	mosquito_net
n02667093	853	400	abaya
n03787032	854	668	mortarboard
n03980874	855	736	poncho
n03141823	856	524	crutch
n03976467	857	733	Polaroid_camera
n04264628	858	811	space_bar
n07930864	859	969	cup
n04039381	860	753	racket
n06874185	861	921	traffic_light
n04033901	862	750	quill
n04041544	863	755	radio
n07860988	864	962	dough
n03146219	865	525	cuirass
n03763968	866	653	military_uniform
n03676483	867	630	lipstick
n04209133	868	794	shower_cap
n03782006	869	665	monitor
n03857828	870	689	oscilloscope
n03775071	871	659	mitten
n02892767	872	460	brassiere
n07684084	873	931	French_loaf
n04522168	874	884	vase
n03764736	875	654	milk_can
n04118538	876	769	rugby_ball
n03887697	877	701	paper_towel
n13044778	878	996	earthstar
n03291819	879	550	envelope
n03770439	880	656	miniskirt
n03124170	881	516	cowboy_hat
n04487081	882	875	trolleybus
n03916031	883	712	perfume
n02808440	884	436	bathtub
n07697537	885	935	hotdog
n12985857	886	992	coral_fungus
n02917067	887	467	bullet_train
n03938244	888	722	pillow
n15075141	889	1000	toilet_tissue
n02978881	890	482	cassette
n02966687	891	478	carpenter's_kit
n03633091	892	619	ladle
n13040303	893	995	stinkhorn
n03690938	894	632	lotion
n03476991	895	586	hair_spray
n02669723	896	401	academic_gown
n03220513	897	539	dome
n03127925	898	520	crate
n04584207	899	904	wig
n07880968	900	966	burrito
n03937543	901	721	pill_bottle
n03000247	902	491	chain_mail
n04418357	903	855	theater_curtain
n04590129	904	906	window_shade
n02795169	905	428	barrel
n04553703	906	897	washbasin
n02783161	907	419	ballpoint
n02802426	908	431	basketball
n02808304	909	435	bath_towel
n03124043	910	515	cowboy_boot
n03450230	911	579	gown
n04589890	912	905	window_screen
n12998815	913	993	agaric
n02992529	914	488	cellular_telephone
n03825788	915	681	nipple
n02790996	916	423	barbell
n03710193	917	638	mailbox
n03630383	918	618	lab_coat
n03347037	919	557	fire_screen
n03769881	920	655	minibus
n03871628	921	693	packet
n03733281	922	647	maze
n03976657	923	734	pole
n03535780	924	603	horizontal_bar
n04259630	925	809	sombrero
n03929855	926	716	pickelhaube
n04049303	927	757	rain_barrel
n04548362	928	894	wallet
n02979186	929	483	cassette_player
n06596364	930	918	comic_book
n03935335	931	720	piggy_bank
n06794110	932	920	street_sign
n02825657	933	443	bell_cote
n03388183	934	564	fountain_pen
n04591157	935	907	Windsor_tie
n04540053	936	891	volleyball
n03866082	937	690	overskirt
n04136333	938	776	sarong
n04026417	939	749	purse
n02865351	940	452	bolo_tie
n02834397	941	444	bib
n03888257	942	702	parachute
n04235860	943	798	sleeping_bag
n04404412	944	852	television
n04371430	945	843	swimming_trunks
n03733805	946	648	measuring_cup
n07920052	947	968	espresso
n07873807	948	964	pizza
n02895154	949	462	breastplate
n04204238	950	791	shopping_basket
n04597913	951	911	wooden_spoon
n04131690	952	774	saltshaker
n07836838	953	961	chocolate_sauce
n09835506	954	982	ballplayer
n03443371	955	573	goblet
n13037406	956	994	gyromitra
n04336792	957	831	stretcher
